Rk,Player,Tm,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
404,Dakari Johnson\johnsda04,MEM,$1378242,,,,,,,$1378242
405,Ivan Rabb\rabbiv01,MEM,$1378242,$1618520,,,,,MLE,$1378242
406,Dillon Brooks\brookdi01,MEM,$1378242,$1618520,,,,,MLE,$1378242
407,Jawun Evans\evansja01,LAC,$1378242,$1618520,,,,,MLE,$1378242
408,Sindarius Thornwell\thornsi01,LAC,$1378242,$1618520,,,,,MLE,$1378242
409,Dwayne Bacon\bacondw01,CHO,$1378242,$1618520,,,,,MLE,$1378242
410,Daniel Theis\theisda01,BOS,$1378242,,,,,,Minimum Salary,$1378242
411,Tyler Dorsey\dorsety01,ATL,$1378242,,,,,,Minimum Salary,$1378242
412,Semi Ojeleye\ojelese01,BOS,$1378242,$1618520,$1752950,,,,,$901965
413,Ike Anigbogu\anigbik01,IND,$1378242,$1618520,,,,,Cap space,$690000
414,Abdel Nader\naderab01,OKC,$1378242,$1618520,$1752950,,,,,$450000
415,Royce O'Neale\onealro01,UTA,$1378242,$1618520,,,,,,
416,Brandon Paul\paulbr01,SAS,$1378242,,,,,,,
417,Shaquille Harrison\harrish01,PHO,$1378242,,,,,,,
418,C.J. Williams\willicj01,LAC,$1378242,$1618520,,,,,,
419,Zhou Qi\qizh01,HOU,$1378242,$1618520,$1752950,,,,,
420,Maxi Kleber\klebima01,DAL,$1378242,,,,,,,
421,Antonius Cleveland\clevean01,CHI,$1378242,,,,,,,
422,Rodney Purvis\purviro01,BOS,$1378242,,,,,,,
423,Kevin Martin\martike02,MIN,$1360304,,,,,,,$1360304
424,Antonio Blakeney\blakean01,CHI,$1349383,$1588231,,,,,Minimum Salary,$2937614
425,Shabazz Muhammad\muhamsh01,MIN,$1238616,,,,,,,$1238616
426,Élie Okobo\okoboel01,PHO,$1238464,$1416852,$1663861,$1802057,,,,$2655316
427,Jalen Brunson\brunsja01,DAL,$1230000,$1416582,$1663861,$1802057,,,Cap Space,$4310443
428,Melvin Frazier\frazime01,ORL,$1050000,$1416852,$1663861,,,,MLE,$2466852
429,Isaac Bonga\bongais01,LAL,$1000000,$1663861,$1416852,,,,,$2663861
430,Justin Hamilton\hamilju01,TOR,$1000000,$1000000,,,,,,$2000000
431,Shelvin Mack\macksh01,ORL,$1000000,,,,,,,$1000000
432,Devonte' Graham\grahade01,CHO,$988464,$1416852,$1663861,,,,MLE,$2405316
433,Jason Thompson\thompja02,GSW,$945126,,,,,,,$945126
434,Gary Trent\trentga02,PHO,$838464,$1416852,$1663861,,,,MLE,$3919177
435,Keita Bates-Diop\bateske01,MIN,$838464,$1416852,$1663861,,,,MLE,$2255316
436,Jevon Carter\carteje01,MEM,$838464,$1416852,,,,,MInimum Salary,$2255316
437,Bruce Brown\brownbr01,DET,$838464,$1416852,$1663861,,,,MLE,$2255316
438,Jarred Vanderbilt\vandeja01,DEN,$838464,$1663861,$1416852,,,,MLE,$2255316
439,Ray Spalding\spaldra01,DAL,$838464,$1416852,$1663861,$1802057,,,Minimum Salary,$2255316
440,Alize Johnson\johnsal02,IND,$838464,$1416852,,,,,Minimum Salary,$838464
441,Ryan Broekhoff\broekry01,DAL,$838464,$1443842,,,,,,$838464
442,Brad Wanamaker\wanambr01,BOS,$838464,,,,,,Minimum Salary,$838464
443,Martell Webster\webstma02,WAS,$833333,,,,,,,$833333
444,Cole Aldrich\aldrico01,MIN,$685341,$685340,$685340,,,,,$2056021
445,Carlos Delfino\delfica01,LAC,$650000,,,,,,,$650000
446,Caron Butler\butleca01,SAC,$517219,,,,,,,$517219
447,A.J. Hammons\hammoaj01,MIA,$350088,$350087,$350087,,,,,$1050262
448,Festus Ezeli\ezelife01,POR,$333333,$333333,,,,,,$666666
449,C.J. Watson\watsocj01,ORL,$333333,$333333,,,,,,$666666
450,Miroslav Raduljica\radulmi01,LAC,$252042,,,,,,,$252042
451,Troy Williams\willitr02,HOU,$122741,$122741,$122741,$122741,$122741,,,$613705
452,Demetrius Jackson\jacksde01,BOS,$92857,$92857,$92857,$92857,$92857,,,$557142
